Discrete,Usage,RangeMin,Color
,ni,0,#ccffcc
,,0.5,#ccff66
,,1,#ffff99
,,2,#ffe67a
,,3,#ffbd5c
,,4,#ff8a3d
,,5,#ff4d1f
,,6,#ff0000
,,7,#ff0066
,,8,#ff00ff
,,9,
,cu,0,#ccffcc
,,0.5,#ccff66
,,1,#ffff99
,,1.5,#ffe67a
,,2,#ffbd5c
,,2.5,#ff8a3d
,,3,#ff4d1f
,,3.5,#ff0066
,,100,
,co,0,#ccffcc
,,0.5,#ccff66
,,1,#ffff99
,,1.5,#ffe67a
,,2,#ffbd5c
,,2.5,#ff8a3d
,,3,#ff4d1f
,,3.5,#ff0066
,,100,
,ds_density,0,#000000
,,1.5,#ffffcc
,,2,#ffbd83
,,2.5,#ffa760
,,3,#ff573c
,,3.5,#ff0564
,,4,
,co_hg_avgdist_att,-99,#cccccc
,,0,#cccccc
,,25,#ccffcc
,,50,#cfff9e
,,100,#e0ff87
,,150,#fcff70
,,200,#ffdb5c
,,250,#ffa845
,,300,#ff6b2e
,,350,#ff2117
,,400,#ff0033
,,450,
,co_hg_block_variance_att,-99,#cccccc
,,-1,#ff0000
,,-0.9,#ff3d1c
,,-0.8,#ff7338
,,-0.7,#ff9e57
,,-0.6,#ffc273
,,-0.5,#00D0f9
,,-0.4,#009efa
,,-0.3,#0069fc
,,-0.2,#0036fc
,,-0.1,#0000ff
,,0,#cc00cc
,,0.1,#0000ff
,,0.2,#0036fc
,,0.3,#0069fc
,,0.4,#009efa
,,0.5,#00D0f9
,,0.6,#ffc273
,,0.7,#ff9e57
,,0.8,#ff7338
,,0.9,#ff3d1c
,,1,#ff0000
,,1.1,
,co_hg_conditional_bias_slope_att,-99,#cccccc
,,0,#cc00cc
,,0.1,#0000ff
,,0.2,#0036fc
,,0.3,#0069fc
,,0.4,#009efa
,,0.5,#00D0f9
,,0.6,#ffc273
,,0.7,#ff9e57
,,0.8,#ff7338
,,0.9,#ff3d1c
,,1,#ff0000
,,1.1,
,co_hg_dist_att,-99,#cccccc
,,0,#cccccc
,,25,#ccffcc
,,50,#cfff9e
,,100,#e0ff87
,,150,#fcff70
,,200,#ffdb5c
,,250,#ffa845
,,300,#ff6b2e
,,350,#ff2117
,,400,#ff0033
,,450,
,co_hg_kgvar_att,-99,#cccccc
,,0,#cc00cc
,,0.1,#0000ff
,,0.2,#0036fc
,,0.3,#0069fc
,,0.4,#009efa
,,0.5,#00D0f9
,,0.6,#ffc273
,,0.7,#ff9e57
,,0.8,#ff7338
,,0.9,#ff3d1c
,,1,#ff0000
,,1.1,
,co_hg_kriging_efficiency_att,-99,#cccccc
,,0,#cc00cc
,,0.1,#0000ff
,,0.2,#0036fc
,,0.3,#0069fc
,,0.4,#009efa
,,0.5,#00D0f9
,,0.6,#ffc273
,,0.7,#ff9e57
,,0.8,#ff7338
,,0.9,#ff3d1c
,,1,#ff0000
,,1.1,#ff00ff
,,1.25,
,co_hg_lagrange_multiplier_att,-99,#cccccc
,,-1,#ff0000
,,-0.9,#ff3d1c
,,-0.8,#ff7338
,,-0.7,#ff9e57
,,-0.6,#ffc273
,,-0.5,#00D0f9
,,-0.4,#009efa
,,-0.3,#0069fc
,,-0.2,#0036fc
,,-0.1,#0000ff
,,0,#cc00cc
,,0.1,#0000ff
,,0.2,#0036fc
,,0.3,#0069fc
